陕西 , 359889830 , 镀谇诳卫 , 2024-07-28 01:46:04 , 1 , 0 , 女娲😡😡😡😡😡
甘肃 , 216778987 , 爅魉 , 2024-07-28 01:46:03 , 0 , 0 , 锁了哈哈😆
四川 , 380867640 , 秦奇不会琴棋 , 2024-07-28 01:45:56 , 0 , 0 , 好好好
广东 , 260426674 , aownja , 2024-07-28 01:45:18 , 1 , 0 , 终于有结果了，辱骂角色还在无关评论区引战。搞的水贴都有些烦
重庆 , 261664039 , EGois , 2024-07-28 01:45:11 , 0 , 0 , _(阿姬倒地)
河南 , 270903075 , 飛飛飛f , 2024-07-28 01:45:04 , 1 , 0 , 加速加速
广西 , 295814751 , 河岸有朵花 , 2024-07-28 01:45:02 , 9 , 0 , 提供氪金以外的所有支持🤗
江苏 , 299198013 , 那裤子技术 , 2024-07-28 01:44:44 , 21 , 0 , 是不是水军机器人，5.0前瞻就知道了，包是脏话
广东 , 297399639 , 柒淼汐 , 2024-07-28 01:44:43 , 7 , 0 , 确实是有一部分水军，但还有一部分是原神玩家，只有危害到了自己，米哈游才会管_(妮可 哈哈)
广东 , 267063676 , 明月不明人心 , 2024-07-28 01:44:20 , 23 , 1 , 那么，正常玩家提出的诉求，你们打算什么时候回应呢_(流萤 也挺好)
河南 , 394044154 , 雾山HL , 2024-07-28 01:44:19 , 12 , 0 , 快好好管管吧，回到那自以为是的“一片祥和”真就那句话，自己不作就不会死
山东 , 404972073 , MIOx , 2024-07-28 01:44:15 , 28 , 0 , 无非是编了个理由糊弄过去罢了，这也就骗骗三岁小孩儿了
浙江 , 413643706 , D减减减 , 2024-07-28 01:44:14 , 1 , 0 , 1
安徽 , 6741205 , 尘白水军 , 2024-07-28 01:44:12 , 8 , 1 , 那我是不是机器人？
广东 , 343184850 , tdhgd , 2024-07-28 01:44:11 , 0 , 0 , wc，官方终于复活了
广东 , 303488886 , Menuxin , 2024-07-28 01:43:57 , 3 , 1 , 发在这里很多玩家看不到，应该全区置顶。要不然那些水军四处说官方捂嘴。一开始起节奏我们正常玩家就纳闷怎么这么多离谱的人，后来节奏越来越大，还显得正常玩家像个异类了。结果别人数据一查，噢都是机器人难怪这么不正常。官方把真实数据拿出来给大家看，也是给普通玩家一个安慰，我们不是奇葩。
广东 , 381710059 , 米抠桑 , 2024-07-28 01:43:56 , 1 , 0 , 社区早该管管了，刷成这样一直当鸵鸟真的难看
重庆 , 289494334 , 安逸煎馍 , 2024-07-28 01:43:55 , 7 , 0 , 太棒了，阉宝，我永远支持你
浙江 , 73569922 , 黎莫羽 , 2024-07-28 01:43:55 , 0 , 0 , _(爱了爱了)
广东 , 267209805 , 方法电话 , 2024-07-28 01:43:54 , 0 , 0 , 6
广东 , 260426674 , aownja , 2024-07-28 01:47:37 , 2 , 0 , 哇，发出恶心人的引战言论的账号还是没封完_(偶像姬-大声bb)
广东 , 277866267 , 你开车就开吧 , 2024-07-28 01:47:17 , 0 , 0 , 不愧是
北京 , 335489741 , 仙家军独断万古 , 2024-07-28 01:47:06 , 0 , 0 , 善用举报
广东 , 325783897 , 糜奤丣惄鞏 , 2024-07-28 01:47:04 , 3 , 1 , 支持，那些米黑太可恶了。
湖南 , 279148829 , 啥时候好几十 , 2024-07-28 01:47:00 , 1 , 0 , 今年28了，没有人能爱我，唯独这个品牌的棉被让我感受到了被爱的滋味。😭😭😭
广东 , 267209805 , 方法电话 , 2024-07-28 01:46:56 , 0 , 0 , 支持米的一切决定希望继续保持_(花火 锤飞)
安徽 , 315593736 , 月尘辉 , 2024-07-28 01:46:55 , 7 , 0 , 我嘞个3度背叛
浙江 , 78682959 , 枫桥poi , 2024-07-28 01:46:55 , 9 , 0 , 求求你给我本荣誉证书吧，没有它都不算原神老登了_(阿姬倒地)
河南 , 344492673 , 绘梨衣LU , 2024-07-28 01:46:55 , 8 , 0 , 你就非得装眼瞎是不是
江苏 , 77225562 , 好感度10Lv , 2024-07-28 01:46:55 , 2 , 0 , 有这技术把我举报的广告检测一遍 建议秒封 净化环境 呜呜呜呜呜
北京 , 74194567 , 空0w , 2024-07-28 01:46:51 , 0 , 0 , 无话可说。
福建 , 409953600 , 真的QQ星 , 2024-07-28 01:46:49 , 10 , 0 , 新型服从性测试对吗_(花火 礼物)
广东 , 300361311 , 德丽莎大人了 , 2024-07-28 01:46:34 , 0 , 2 , 确实如此 早就该加大力度把那些所有的，如果是正常评论的还好 ， 对于那些严重刷屏的就应该严惩 ，穿米往的风气一向不好 但这是也太乱了吧 ！这要是没有人在幕后操控都不信 ！_(刻晴-晚安)_(倒地不起)
广东 , 300361311 , 德丽莎大人了 , 2024-07-28 01:48:09 , 1 , 0 , 当然对于正常的需求 官方最好是看一看 ，别一棍子全部打死 ！那就没意思了
福建 , 289599832 , Infected柒 , 2024-07-28 01:46:25 , 8 , 0 , 快举报我，让我封禁
湖北 , 290723138 , 芜湖能不能起飞 , 2024-07-28 01:46:20 , 0 , 0 , 看看锁不锁😁
