上海 , 80823531 , 小黑屋管理员 , 2024-07-27 20:28:08 , 5452 , 1000 , 本次处理只会非常严格地针对那些使用技术手段重复刷屏达到一定频次的账号，对于正常的交流讨论内容不会进行处理。如果因为一些特殊情况导致误伤，我们会开放申诉的渠道。谢谢小伙伴们的理解。
河北 , 5083886 , 压力小锅 , 2024-07-27 20:44:54 , 78 , 41 , 归来咯_(吃雪糕)
云南 , 376749582 , 紫缠 , 2024-07-27 21:12:56 , 300 , 35 , 什么内容可以交流讨论？
广西 , 22405878 , 红の月下卿 , 2024-07-27 21:15:09 , 42 , 46 , 支持，摸摸(｡･ω･｡)ﾉ♡
浙江 , 331950744 , 洛千尘66 , 2024-07-28 22:48:38 , 4 , 0 , 我曾…前面忘了，中间忘了，后面忘了，但是我爱中国，台湾是我国不可分割的一部分
广西 , 183087730 , 池鱼慕燕 , 2024-07-28 22:48:21 , 2 , 0 , 是的，我曾。。。我爱中国_(藿藿 抓狂)_(藿藿 抓狂)_(藿藿 抓狂)
上海 , 338927026 , soraangel25 , 2024-07-28 22:48:20 , 1 , 0 , 我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国测试用233
浙江 , 278543706 , gala永远的神 , 2024-07-28 22:48:14 , 0 , 0 , 我爱中国🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳
江苏 , 320755164 , 蛋清枇杷 , 2024-07-28 22:45:58 , 3 , 0 , 台湾是我国不可分割的部分🇨🇳🇨🇳🇨🇳🇨🇳，坚持一个中国原则🇨🇳🇨🇳🇨🇳。我爱中国🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳中华人民万众一心🇨🇳🇨🇳🇨🇳🇨🇳台湾是我国不可分割的部分🇨🇳🇨🇳🇨🇳🇨🇳，坚持一个中国原则🇨🇳🇨🇳🇨🇳。我爱中国🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳中华人民万众一心🇨🇳🇨🇳🇨🇳🇨🇳
湖北 , 258017645 , 顾客nimasil , 2024-07-28 22:43:27 , 1 , 0 , 我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳我爱中国🇨🇳
